iter	TotalF1	MultiClass
0	0.6752085976	0.9102128419
1	0.6870775926	0.8016919621
2	0.686230252	0.7435890427
3	0.6815945798	0.718054609
4	0.6796958706	0.7042636489
5	0.6803938574	0.6961381185
6	0.6844242819	0.6913633553
7	0.6848384512	0.6891607655
8	0.6846534999	0.6868882179
9	0.6842912789	0.6853051661
10	0.6850449961	0.6845397761
11	0.6849971741	0.6840655438
12	0.684409166	0.6833383242
13	0.6842214231	0.6813538705
14	0.6837501167	0.6809566536
15	0.6839798403	0.6802177068
16	0.6843713839	0.6799907682
17	0.6846045052	0.6797449442
18	0.6845783584	0.6794153739
19	0.6848225212	0.679293342
20	0.6884133012	0.6787181209
21	0.6880672311	0.6786177257
22	0.6880869681	0.6782511565
23	0.6879735816	0.6780928735
24	0.6879500936	0.6780318177
25	0.6878265087	0.6779112528
26	0.6879993678	0.6776625599
27	0.687511048	0.6775277388
28	0.6876453232	0.6773226268
29	0.6876565225	0.6770062816
30	0.6876728611	0.6768344409
31	0.6875543233	0.6763742904
32	0.6878641378	0.6762089196
33	0.6882783858	0.6760364634
34	0.6882119872	0.6758889739
35	0.6878322438	0.6757336672
36	0.6877630267	0.6753846478
37	0.6880524827	0.6752885892
38	0.6880033605	0.6752203966
39	0.6879769316	0.6751793235
40	0.6882883986	0.6751319511
41	0.6881269859	0.6747295038
42	0.688284371	0.6744873025
43	0.6883529998	0.6743667969
44	0.6882982356	0.674212125
45	0.6886180131	0.6740883374
46	0.6886140104	0.674031003
47	0.6885770507	0.6739882589
48	0.6884264493	0.6739272886
49	0.6884490662	0.6738655919
50	0.6886091953	0.6737654981
51	0.6886847242	0.6737024792
52	0.688658764	0.6736239485
53	0.6883591629	0.6735273122
54	0.6883932245	0.6734624411
55	0.6883987183	0.6733675315
56	0.6883801958	0.6733127617
57	0.688345034	0.6732705899
58	0.6882950346	0.6731172663
59	0.6882858889	0.6730631244
60	0.6884327391	0.6730102978
61	0.6882749303	0.6729317408
62	0.6882709906	0.6729007284
63	0.6882567758	0.6728358766
64	0.688323117	0.6727909228
65	0.6884598286	0.6727452397
66	0.6882974094	0.6726796056
67	0.6882202425	0.6726300143
68	0.6882220844	0.6725665711
69	0.6882353387	0.6724050862
70	0.6882336064	0.6723645696
71	0.6882582881	0.6722909271
72	0.6881850205	0.6722303721
73	0.6883301364	0.6721514535
74	0.6884850933	0.6720937657
75	0.68856384	0.6720258637
76	0.688536192	0.6719635716
77	0.6885328902	0.6718903815
78	0.6886041384	0.6718188468
79	0.6886389181	0.6717798275
80	0.6886998639	0.6717461963
81	0.688877629	0.6717019361
82	0.6887793039	0.6716211966
83	0.6888131682	0.67156112
84	0.6887447041	0.6714699779
85	0.6887769096	0.6714167675
86	0.6889711231	0.6713949696
87	0.6889921508	0.6713643697
88	0.6890226513	0.671257132
89	0.6890594388	0.6712094228
90	0.6891104296	0.671176629
91	0.6891625793	0.6711429096
92	0.6892593095	0.67107823
93	0.6892516181	0.6710022425
94	0.6892248086	0.6709810366
95	0.6892171832	0.6709311194
96	0.6892803655	0.6708660722
97	0.6893920481	0.6708251687
98	0.6894849652	0.67078242
99	0.6894549063	0.6707583803
100	0.6894372214	0.670730815
101	0.6893815847	0.6706805975
102	0.6894493065	0.6705947375
103	0.6894625517	0.6705656586
104	0.6895407753	0.6705137257
105	0.6895379771	0.6704446608
106	0.6895194022	0.6704021009
107	0.6895037619	0.6703562437
108	0.6895723889	0.6703248989
109	0.689651788	0.6702566172
110	0.6896010229	0.6702175164
111	0.6896498159	0.6701821498
112	0.6897447287	0.6701403036
113	0.6897381508	0.6701010545
114	0.6898326883	0.6700508248
115	0.6897637864	0.6699755296
116	0.6897947756	0.6699080008
117	0.6897904114	0.6698692356
118	0.689775696	0.6698364282
119	0.6897508113	0.6698068825
120	0.6897984892	0.6697671896
121	0.6898254855	0.6696705272
122	0.6898473033	0.6696248247
123	0.6898318591	0.6695813974
124	0.6897963188	0.6695499119
125	0.6899010665	0.6695103843
126	0.6899285362	0.6694718461
127	0.6899901741	0.669435871
128	0.6900319429	0.6694038081
129	0.6900449754	0.6693731229
130	0.6900186568	0.6693372693
131	0.69010557	0.6693112732
132	0.6901253421	0.6692700363
133	0.6901169099	0.6692099558
134	0.6902256275	0.6691752719
135	0.6902433539	0.669113256
136	0.6900720852	0.669070514
137	0.6901347215	0.6690466535
138	0.6901317422	0.6690042789
139	0.6900983911	0.6689673687
140	0.6900975451	0.6689333609
141	0.6901123646	0.6689031047
142	0.6901098764	0.6688653846
143	0.6903016935	0.6688246629
144	0.6902536477	0.6687944137
145	0.6902659122	0.668760283
146	0.6903281561	0.6687214243
147	0.6902519954	0.6687058667
148	0.6902214154	0.6686788363
149	0.6902901701	0.6686493053
150	0.6902590978	0.6686038653
151	0.6903056317	0.6685745123
152	0.6903317634	0.6685168719
153	0.6902104561	0.6685004967
154	0.6902085879	0.6684502879
155	0.6902427146	0.6684091237
156	0.6902722188	0.6683816103
157	0.6903466861	0.6683450219
158	0.690339626	0.6682998858
159	0.6903431796	0.6682829748
160	0.6903933962	0.6682424204
161	0.6903269198	0.6682255685
162	0.6903815143	0.6681895832
163	0.6903997957	0.6681466435
164	0.6904404152	0.6680948656
165	0.6904002441	0.6680675315
166	0.6904117152	0.6680398614
167	0.6904118084	0.6680200288
168	0.6904243969	0.6679818348
169	0.6904169254	0.6679606836
170	0.6904508382	0.6679171265
171	0.6904662773	0.6678741037
172	0.6905214438	0.6678409315
173	0.6905956097	0.667801838
174	0.6905629705	0.6677718424
175	0.6905511012	0.6677516389
176	0.6904685651	0.6677240847
177	0.6904917192	0.6676260922
178	0.6905532199	0.6675944053
179	0.6905471838	0.6675574646
180	0.6905598255	0.667518386
181	0.6905683693	0.6674864649
182	0.6905742362	0.6674641808
183	0.690536531	0.6674336617
184	0.6905508106	0.6674071275
185	0.6906310195	0.6673517163
186	0.6906082363	0.6673342327
187	0.6906214467	0.6673163192
188	0.6907149544	0.6672544943
189	0.6907394622	0.6672353728
190	0.6907590819	0.667208051
191	0.6907786479	0.667167537
192	0.6907647849	0.6671566872
193	0.6907613588	0.6671331063
194	0.6907591332	0.6670942127
195	0.6907668655	0.6670540735
196	0.690844779	0.6670297437
197	0.6908399746	0.6669638094
198	0.6908576943	0.6669429632
199	0.6908685768	0.6668999637
200	0.6908601401	0.6668800433
201	0.6908673308	0.6668603205
202	0.6908054636	0.6668312322
203	0.6908127114	0.6668054708
204	0.6907904238	0.6667471581
205	0.6908073473	0.6667110835
206	0.6907960876	0.6666909694
207	0.6907922991	0.6666537212
208	0.6907907945	0.6666404574
209	0.6908043169	0.6666143073
210	0.6908622209	0.6665925578
211	0.6908781269	0.6665607545
212	0.6909070556	0.6665424138
213	0.6909316438	0.6665231731
214	0.690889712	0.6665002669
215	0.6910366263	0.6664672689
216	0.6909951308	0.6664482544
217	0.6910183218	0.666415777
218	0.6909762493	0.666358081
219	0.6910170618	0.666345756
220	0.6910580172	0.6662974682
221	0.6911372257	0.6662825065
222	0.6911719307	0.6662662899
223	0.6910675154	0.6662530768
224	0.6910764979	0.6662346921
225	0.6911732298	0.6661313121
226	0.6911160094	0.6661040323
227	0.6911179416	0.6660774489
228	0.6912776552	0.6660486072
229	0.6912598001	0.666027753
230	0.6913727013	0.6659765179
231	0.6913761118	0.6659433819
232	0.6913630483	0.6659219219
233	0.69140569	0.6658755376
234	0.6913421604	0.6658448137
235	0.6913684234	0.6658328645
236	0.6914011895	0.6658091657
237	0.6913210559	0.6657718571
238	0.6912888662	0.6657381377
239	0.6912949981	0.6657166702
240	0.6913751074	0.6656815167
241	0.6913897208	0.6656665875
242	0.6913990612	0.665634404
243	0.6914122604	0.6656115097
244	0.6914031293	0.665592868
245	0.6913881304	0.6655700374
246	0.6914063589	0.6655384356
247	0.6913773402	0.6655238296
248	0.6913799459	0.6655085742
249	0.6914094823	0.6654905007
250	0.6913770623	0.6654631858
251	0.6914411565	0.665434985
252	0.6913719535	0.6654024985
253	0.6915035467	0.6653567569
254	0.6914494161	0.6653455086
255	0.6915080668	0.6653277583
256	0.6915195828	0.6653082999
257	0.6914888176	0.665301598
258	0.691482865	0.6652800612
259	0.6914998488	0.6652679029
260	0.6916254501	0.6652391188
261	0.6916416378	0.665209465
262	0.6916339861	0.6651589605
263	0.6916420423	0.665138217
264	0.6916703416	0.6650694271
265	0.6916453896	0.6650431517
266	0.6916934816	0.665015269
267	0.6916672183	0.6650091995
268	0.6916313498	0.6649605517
269	0.69164536	0.6649410069
270	0.6916523919	0.6649244673
271	0.6916424909	0.6648748989
272	0.6916657671	0.6648497531
273	0.6916624723	0.6648343842
274	0.6916803756	0.6648158954
275	0.691673381	0.6647990666
276	0.6916560411	0.664780387
277	0.6917481325	0.6647580881
278	0.6917031953	0.6647359537
279	0.6917416956	0.6646908303
280	0.6916738781	0.6646632913
281	0.6916502117	0.6646316646
282	0.6917229474	0.664619184
283	0.6916949433	0.6645906193
284	0.6917962041	0.6645691693
285	0.6918125857	0.6645372153
286	0.6917895155	0.6645093391
287	0.6918496419	0.6644869594
288	0.6918399082	0.6644594084
