iter	Passed	Remaining
0	259	129281
1	508	126661
2	820	135849
3	1064	131955
4	1283	127017
5	1494	123027
6	1683	118561
7	1870	115021
8	2080	113485
9	2264	110953
10	2467	109711
11	2652	107848
12	2845	106581
13	3064	106370
14	3262	105501
15	3468	104920
16	3681	104608
17	3914	104824
18	4129	104542
19	4351	104432
20	4596	104851
21	4825	104836
22	5032	104368
23	5246	104060
24	5462	103796
25	5680	103561
26	5922	103748
27	6127	103290
28	6365	103386
29	6576	103032
30	6791	102746
31	6990	102229
32	7211	102058
33	7414	101628
34	7626	101324
35	7837	101022
36	8067	100950
37	8262	100452
38	8476	100191
39	8671	99717
40	8861	99206
41	9072	98934
42	9306	98912
43	9543	98905
44	9751	98602
45	9955	98261
46	10167	97993
47	10362	97577
48	10560	97196
49	10771	96939
50	10976	96631
51	11171	96244
52	11385	96025
53	11604	95846
54	11832	95737
55	12026	95355
56	12240	95135
57	12453	94902
58	12684	94810
59	12867	94358
60	13085	94173
61	13304	93989
62	13498	93633
63	13723	93493
64	13930	93225
65	14149	93042
66	14360	92808
67	14558	92488
68	14775	92293
69	14986	92061
70	15199	91839
71	15406	91585
72	15614	91334
73	15824	91097
74	16039	90888
75	16244	90624
76	16460	90426
77	16678	90235
78	16899	90057
79	17099	89770
80	17307	89530
81	17497	89196
82	17711	88984
83	17923	88766
84	18157	88649
85	18355	88361
86	18547	88048
87	18747	87772
88	18965	87582
89	19171	87337
90	19385	87128
91	19610	86967
92	19871	86963
93	20133	86957
94	20352	86767
95	20600	86694
96	20830	86544
97	21079	86468
98	21319	86352
99	21552	86208
100	21794	86098
101	22075	86138
102	22338	86101
103	22575	85959
104	22786	85719
105	22998	85485
106	23215	85269
107	23437	85068
108	23643	84813
109	23861	84600
110	24077	84378
111	24289	84144
112	24499	83904
113	24782	83911
114	25001	83699
115	25213	83465
116	25435	83264
117	25647	83028
118	25847	82756
119	26038	82456
120	26251	82224
121	26487	82068
122	26722	81905
123	26919	81628
124	27147	81443
125	27344	81164
126	27568	80969
127	27781	80739
128	27988	80493
129	28188	80228
130	28417	80047
131	28609	79760
132	28836	79571
133	29041	79322
134	29259	79108
135	29486	78920
136	29691	78671
137	29890	78408
138	30105	78187
139	30315	77953
140	30524	77719
141	30729	77472
142	30955	77281
143	31167	77052
144	31377	76820
145	31593	76602
146	31806	76378
147	32000	76109
148	32214	75887
149	32416	75637
150	32611	75374
151	32820	75142
152	33032	74917
153	33228	74656
154	33449	74452
155	33655	74215
156	33854	73962
157	34069	73745
158	34287	73534
159	34492	73296
160	34727	73122
161	34926	72870
162	35134	72640
163	35376	72479
164	35647	72376
165	35882	72197
166	36139	72062
167	36395	71925
168	36643	71768
169	36903	71635
170	37155	71487
171	37401	71322
172	37658	71180
173	37937	71077
174	38199	70941
175	38436	70758
176	38687	70600
177	38924	70413
178	39141	70191
179	39364	69981
180	39565	69732
181	39771	69490
182	39984	69262
183	40186	69016
184	40397	68785
185	40607	68552
186	40824	68331
187	41023	68081
188	41253	67882
189	41458	67642
190	41677	67426
191	41891	67201
192	42105	66976
193	42317	66747
194	42532	66525
195	42748	66304
196	42963	66081
197	43197	65887
198	43411	65663
199	43629	65444
200	43845	65222
201	44053	64989
202	44301	64815
203	44510	64584
204	44750	64396
205	44975	64188
206	45203	63984
207	45419	63762
208	45615	63512
209	45829	63288
210	46051	63075
211	46257	62840
212	46480	62627
213	46684	62391
214	46893	62160
215	47114	61946
216	47327	61722
217	47534	61489
218	47770	61294
219	47960	61041
220	48212	60865
221	48419	60633
222	48622	60396
223	48808	60139
224	49011	59902
225	49331	59808
226	49553	59594
227	49770	59375
228	50005	59177
229	50221	58955
230	50440	58738
231	50671	58533
232	50872	58296
233	51101	58090
234	51334	57887
235	51571	57689
236	51814	57498
237	52094	57347
238	52358	57178
239	52597	56980
240	52857	56805
241	53105	56616
242	53362	56437
243	53598	56234
244	53856	56054
245	54105	55864
246	54363	55683
247	54611	55491
248	54874	55315
249	55091	55091
250	55304	54863
251	55526	54644
252	55737	54416
253	55980	54217
254	56179	53976
255	56399	53755
256	56600	53517
257	56802	53280
258	57003	53041
259	57224	52822
260	57434	52593
261	57672	52389
262	57904	52180
263	58128	51962
264	58352	51746
265	58572	51526
266	58789	51302
267	59003	51077
268	59230	50863
269	59464	50654
270	59676	50427
271	59908	50217
272	60109	49981
273	60323	49755
274	60529	49523
275	60771	49321
276	61002	49110
277	61220	48888
278	61437	48665
279	61661	48448
280	61879	48226
281	62092	48000
282	62301	47771
283	62522	47552
284	62747	47335
285	62976	47121
286	63195	46901
287	63398	46668
288	63614	46445
289	63829	46221
290	64058	46007
291	64275	45785
292	64487	45559
293	64716	45345
294	64960	45142
295	65165	44911
296	65377	44685
297	65573	44449
298	65801	44234
299	66009	44006
300	66227	43784
301	66471	43580
302	66754	43401
303	66988	43190
304	67212	42972
305	67512	42802
306	67779	42610
307	68051	42421
308	68325	42233
309	68599	42044
310	68864	41850
311	69125	41652
312	69381	41451
313	69626	41243
314	69878	41039
315	70216	40885
316	70446	40667
317	70677	40450
318	70960	40262
319	71277	40093
320	71524	39884
321	71746	39661
322	71984	39446
323	72199	39219
324	72400	38984
325	72615	38758
326	72857	38545
327	73076	38320
328	73290	38093
329	73508	37868
330	73707	37633
331	73925	37407
332	74143	37183
333	74373	36964
334	74591	36738
335	74818	36518
336	75032	36291
337	75248	36066
338	75441	35829
339	75648	35599
340	75849	35366
341	76071	35143
342	76286	34918
343	76507	34695
344	76728	34472
345	76949	34249
346	77172	34027
347	77381	33799
348	77583	33567
349	77779	33334
350	77995	33109
351	78234	32894
352	78456	32671
353	78658	32440
354	78889	32222
355	79127	32006
356	79384	31798
357	79598	31572
358	79822	31350
359	80022	31120
360	80228	30891
361	80440	30665
362	80651	30438
363	80866	30214
364	81095	29994
365	81301	29766
366	81518	29542
367	81722	29313
368	81941	29090
369	82148	28863
370	82368	28640
371	82565	28409
372	82785	28186
373	82995	27961
374	83193	27731
375	83432	27514
376	83671	27298
377	83895	27077
378	84152	26866
379	84406	26654
380	84648	26438
381	84895	26224
382	85159	26014
383	85412	25801
384	85655	25585
385	85887	25365
386	86107	25142
387	86335	24921
388	86577	24704
389	86788	24478
390	86995	24251
391	87205	24026
392	87424	23802
393	87640	23578
394	87853	23353
395	88062	23127
396	88271	22901
397	88485	22677
398	88692	22450
399	88895	22223
400	89101	21997
401	89320	21774
402	89536	21550
403	89737	21323
404	89944	21098
405	90149	20871
406	90376	20651
407	90581	20425
408	90797	20201
409	90984	19972
410	91178	19744
411	91399	19522
412	91597	19295
413	91820	19073
414	92031	18849
415	92247	18626
416	92459	18403
417	92736	18192
418	92967	17972
419	93183	17749
420	93392	17524
421	93581	17297
422	93804	17075
423	94029	16854
424	94220	16627
425	94441	16405
426	94653	16182
427	94855	15957
428	95070	15734
429	95280	15510
430	95483	15286
431	95669	15059
432	95873	14834
433	96102	14614
434	96309	14391
435	96520	14168
436	96737	13946
437	96961	13725
438	97183	13503
439	97394	13281
440	97607	13058
441	97824	12836
442	98045	12615
443	98257	12392
444	98466	12170
445	98674	11947
446	98880	11724
447	99078	11500
448	99319	11281
449	99560	11062
450	99798	10842
451	100070	10626
452	100318	10408
453	100559	10188
454	100823	9971
455	101073	9752
456	101322	9533
457	101588	9315
458	101847	9097
459	102153	8882
460	102466	8668
461	102761	8452
462	103068	8236
463	103323	8016
464	103581	7796
465	103831	7575
466	104054	7352
467	104259	7128
468	104490	6906
469	104702	6683
470	104911	6459
471	105145	6237
472	105338	6013
473	105535	5788
